lat,lon,name,admin1,admin2,cc
40.889675,-73.845608,10466,,,
40.873256,-73.870576,10467,,,
40.868013,-73.896417,10468,,,
40.868747,-73.849303,10469,,,
40.901193,-73.860637,10470,,,
40.903491,-73.903466,10471,,,
40.830485,-73.870026,10472,,,
40.818719,-73.85718,10473,,,
40.809555,-73.885815,10474,,,
40.876918,-73.830136,10475,,,
40.695472,-73.992723,11201,,,
40.649673,-73.937666,11203,,,
40.620189,-73.985706,11204,,,
40.694985,-73.965575,11205,,,
40.703008,-73.943208,11206,,,
40.669311,-73.895528,11207,,,
40.673964,-73.872964,11208,,,
40.623738,-74.033806,11209,,,
40.628777,-73.945814,11210,,,
40.714112,-73.952354,11211,,,
40.663426,-73.912354,11212,,,
40.671767,-73.935934,11213,,,
40.59848,-73.996892,11214,,,
40.666364,-73.985457,11215,,,
40.679695,-73.950292,11216,,,
40.684381,-73.980437,11217,,,
40.641581,-73.975901,11218,,,
40.631209,-73.998416,11219,,,
40.642875,-74.015564,11220,,,
40.693561,-73.926509,11221,,,
40.727965,-73.949305,11222,,,
40.59646,-73.972916,11223,,,
40.577387,-73.994493,11224,,,
40.662208,-73.95527,11225,,,
40.647083,-73.954915,11226,,,
40.620567,-74.015141,11228,,,
40.598356,-73.939325,11229,,,
40.619153,-73.965619,11230,,,
40.680052,-74.004522,11231,,,
40.657218,-74.005878,11232,,,
40.671472,-73.924489,11233,,,
40.619061,-73.923116,11234,,,
40.582828,-73.951811,11235,,,
40.640108,-73.904411,11236,,,
40.704643,-73.921609,11237,,,
40.678989,-73.961819,11238,,,
40.647564,-73.877052,11239,,,
40.719635,-73.706913,11001,,,
40.747846,-73.710498,11004,,,
40.755594,-73.715036,11005,,,
40.742887,-73.676015,11040,,,
40.618459,-73.748859,11096,,,
40.74847,-73.93918,11101,,,
40.770391,-73.923967,11102,,,
40.762281,-73.910107,11103,,,
40.744648,-73.917792,11104,,,
40.778285,-73.910175,11105,,,
40.761688,-73.930747,11106,,,
40.742578,-73.949048,11109,,,
40.770167,-73.825967,11354,,,
40.754005,-73.821132,11355,,,
40.786,-73.84407,11356,,,
40.783792,-73.812287,11357,,,
40.760434,-73.799188,11358,,,
40.776438,-73.78038,11360,,,
40.76476,-73.77751,11361,,,
40.76185,-73.729718,11362,,,
40.773215,-73.746899,11363,,,
40.7465,-73.761707,11364,,,
40.738549,-73.790001,11365,,,
40.729445,-73.797794,11366,,,
40.72816,-73.818582,11367,,,
40.752572,-73.854759,11368,,,
40.765278,-73.817778,11369,,,
40.775842,-73.874904,11371,,,
40.749542,-73.883319,11372,,,
40.738937,-73.87916,11373,,,
40.727079,-73.861454,11374,,,
40.721216,-73.85021,11375,,,
40.743107,-73.906134,11377,,,
40.725746,-73.903899,11378,,,
40.71587,-73.882583,11379,,,
40.70286,-73.87974,11385,,,
40.694491,-73.737461,11411,,,
40.694225,-73.760504,11412,,,
40.67182,-73.751834,11413,,,
40.658635,-73.843765,11414,,,
40.708943,-73.826125,11415,,,
40.684494,-73.850427,11416,,,
40.67426,-73.843796,11417,,,
40.69852,-73.835575,11418,,,
40.688921,-73.823304,11419,,,
40.674361,-73.813156,11420,,,
40.692189,-73.856141,11421,,,
40.663176,-73.733191,11422,,,
40.716723,-73.76841,11423,,,
40.733204,-73.722052,11426,,,
40.728919,-73.748586,11427,,,
40.71999,-73.740969,11428,,,
40.711559,-73.742091,11429,,,
40.661453,-73.81183,11430,,,
40.715744,-73.794362,11432,,,
40.697305,-73.789271,11433,,,
